"V1","V2","V3","V4","V5"
"372","65andolder","Hispanic","above_poor","queens","Not_disabled"
"373","65andolder","Hispanic","above_poor","queens","Not_disabled"
"374","65andolder","Hispanic","above_poor","queens","Not_disabled"
"375","65andolder","Hispanic","above_poor","queens","Not_disabled"
"376","65andolder","Hispanic","above_poor","queens","Non_institutionalized"
"377","65andolder","Hispanic","above_poor","queens","Non_institutionalized"
"378","65andolder","Hispanic","above_poor","queens","Non_institutionalized"
"379","65andolder","Asian","above_poor","queens","Non_institutionalized"
"380","65andolder","Asian","above_poor","queens","Non_institutionalized"
"381","65andolder","Asian","above_poor","queens","Non_institutionalized"
"382","65andolder","Asian","above_poor","queens","Non_institutionalized"
"383","65andolder","Asian","above_poor","queens","Non_institutionalized"
"384","65andolder","Asian","above_poor","queens","Non_institutionalized"
"385","65andolder","Asian","above_poor","queens","Non_institutionalized"
"386","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"387","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"388","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"389","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"390","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"391","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"392","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"393","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"394","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"395","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"396","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"397","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"398","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"399","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"400","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"401","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"402","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"403","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"404","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"405","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"406","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"407","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
