age,race,income,borough,disability
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Not_disabled
65andolder,hispanic,above_poor,queens,Non_institutionalized
65andolder,hispanic,above_poor,queens,Non_institutionalized
65andolder,hispanic,above_poor,queens,Non_institutionalized
65andolder,asian,above_poor,queens,Non_institutionalized
65andolder,asian,above_poor,queens,Non_institutionalized
65andolder,asian,above_poor,queens,Non_institutionalized
65andolder,asian,above_poor,queens,Non_institutionalized
65andolder,asian,above_poor,queens,Non_institutionalized
65andolder,asian,above_poor,queens,Non_institutionalized
65andolder,asian,above_poor,queens,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,asian,above_poor,staten_Island,Non_institutionalized
65andolder,multiracial,above_poor,staten_Island,Non_institutionalized
65andolder,multiracial,above_poor,staten_Island,Non_institutionalized
65andolder,multiracial,above_poor,staten_Island,Non_institutionalized
65andolder,multiracial,above_poor,staten_Island,Non_institutionalized
65andolder,multiracial,above_poor,staten_Island,Non_institutionalized
65andolder,multiracial,above_poor,staten_Island,Non_institutionalized
